productId,slug,assetPath,sourceUrl,sourcePage,licenseStatus,notes
"ct-015","camisa-manchester-city-i-2026","/assets/products/ct-015/ct-015__camisa-manchester-city-i-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-manchester-city-home-2526-sn-torcedor-puma-masculina/08/PI3-73PQ-008/PI3-73PQ-008_zoom1.jpg?ts=1778037084&ims=1088x","https://www.netshoes.com.br/p/camisa-manchester-city-home-2526-sn-torcedor-puma-masculina-PI3-73PQ-008","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-017","camisa-psg-i-2026","/assets/products/ct-017/ct-017__camisa-psg-i-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-nike-paris-saint-germain-i-202526-torcedor-pro-masculina/08/SGL-03AR-008/SGL-03AR-008_zoom1.jpg?ts=1773028794&ims=1088x","https://www.netshoes.com.br/p/camisa-nike-paris-saintgermain-i-202526-torcedor-pro-masculina-SGL-03AR-008","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-017","camisa-psg-i-2026","/assets/products/ct-017/ct-017__camisa-psg-i-2026__back__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-nike-paris-saint-germain-i-202526-torcedor-pro-masculina/08/SGL-03AR-008/SGL-03AR-008_zoom2.jpg?ts=1773028794","https://www.netshoes.com.br/p/camisa-nike-paris-saintgermain-i-202526-torcedor-pro-masculina-SGL-03AR-008","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-018","camisa-argentina-i-2026","/assets/products/ct-018/ct-018__camisa-argentina-i-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-selecao-argentina-home-torcedor-2026-sn-adidas-masculina/14/FBA-825C-014/FBA-825C-014_zoom1.jpg?ts=1778038606&ims=1088x","https://www.netshoes.com.br/p/camisa-selecao-argentina-home-torcedor-2026-sn-adidas-masculina-FBA-825C-014","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-019","camisa-japao-i-2026","/assets/products/ct-019/ct-019__camisa-japao-i-2026__front__public-reference__v1.jpg","https://imgcentauro-a.akamaihd.net/1024x1024/9972OT05A13.jpg","https://www.centauro.com.br/camisa-selecao-do-japao-i-25-26-torcedor-adidas-masculina-9972OT.html","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-020","camisa-al-hilal-i-2026","/assets/products/ct-020/ct-020__camisa-al-hilal-i-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-al-hilal-saudi-kidsuper-2526-jogador-puma-masculina/08/PI3-73QQ-008/PI3-73QQ-008_zoom1.jpg?ts=1777173793&ims=1088x","https://www.netshoes.com.br/p/camisa-alhilal-saudi-kidsuper-2526-jogador-puma-masculina-PI3-73QQ-008","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-021","camisa-al-nassr-i-2026","/assets/products/ct-021/ct-021__camisa-al-nassr-i-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-al-nassr-home-2526-n-7-cristiano-ronaldo-torcedor-adidas-masculina/30/FBA-7822-030/FBA-7822-030_zoom1.jpg?ts=1776399738&ims=1088x","https://www.netshoes.com.br/p/camisa-alnassr-home-2526-n-7-cristiano-ronaldo-torcedor-adidas-masculina-FBA-7822-030","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-022","camisa-inter-miami-i-2026","/assets/products/ct-022/ct-022__camisa-inter-miami-i-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-inter-miami-infantil-home-2526-sn-torcedor-adidas/18/FBA-3617-018/FBA-3617-018_zoom1.jpg?ts=1777355798&ims=1088x","https://www.netshoes.com.br/p/camisa-inter-miami-infantil-home-2526-sn-torcedor-adidas-FBA-3617-018","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-023","camisa-portugal-i-2026","/assets/products/ct-023/ct-023__camisa-portugal-i-2026__front__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-selecao-portugal-home-2526-sn-torcedor-puma-masculina/16/PI3-5546-016/PI3-5546-016_zoom1.jpg?ts=1776400765&ims=1088x","https://www.netshoes.com.br/p/camisa-selecao-portugal-home-2526-sn-torcedor-puma-masculina-PI3-5546-016","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
"ct-023","camisa-portugal-i-2026","/assets/products/ct-023/ct-023__camisa-portugal-i-2026__back__public-reference__v1.jpg","https://static.netshoes.com.br/produtos/camisa-selecao-portugal-home-2526-sn-torcedor-puma-masculina/16/PI3-5546-016/PI3-5546-016_zoom2.jpg?ts=1776400765","https://www.netshoes.com.br/p/camisa-selecao-portugal-home-2526-sn-torcedor-puma-masculina-PI3-5546-016","alternate_public_page_noncommercial","Asset publico baixado para prototipo local sem fins comerciais; revisar licenca antes de uso comercial."
